"YEAR","WEEK","CATEGORY","BRAND","SKU_NAME","COGS_PER_PIECE"
"1","31","Books","Baccus, Apollo & Rosenkatz","Goodnight Moon","20"
"1","2","Books","Prometheus Publishing","The Revolt of Mamie Stover","16"
"1","2","Books","Prometheus Publishing","The Wheel of Time","32"
"1","2","Books","Prometheus Publishing","Nancy Drew","22.5"
"1","18","Appliances","Savvy Machines","fireplace toaster","70"
"1","5","Books","Prometheus Publishing","How to Win Friends and Influence People","18"
"1","29","Appliances","Kolben, Daněk","compactor","69.3"
"1","8","Books","Prometheus Publishing","The Adventures of Pinocchio","18"
"1","8","Books","Prometheus Publishing","Kane and Abel","18"
"1","5","Appliances","Kolben, Daněk","internet refrigerator","196"
"1","11","Books","Prometheus Publishing","The Girl with the Dragon Tattoo","27"
"1","12","Books","Prometheus Publishing","The Great Gatsby","36"
"1","2","Books","Prometheus Publishing","The Lost Symbol","19"
"1","2","Books","Prometheus Publishing","Perfume","19"
"1","29","Appliances","Kolben, Daněk","hot plate","505"
"1","2","Books","Prometheus Publishing","Frank Merriwell","36"
"1","8","Books","Prometheus Publishing","How to Win Friends and Influence People","18"
"1","10","Books","Prometheus Publishing","Me Before You","9.6"
"1","4","Books","Prometheus Publishing","Lolita","27"
"1","18","Appliances","Savvy Machines","hair dryer","510"
"1","11","Books","Prometheus Publishing","The Shack","11.4"
"1","11","Books","Prometheus Publishing","Jaws","16"
"1","11","Books","Prometheus Publishing","L'Étranger (The Stranger (Camus novel))","16"
"1","4","Books","Baccus, Apollo & Rosenkatz","Anne of Green Gables","22.5"
"1","6","Books","Prometheus Publishing","The Wheel of Time","32"
"1","6","Books","Baccus, Apollo & Rosenkatz","Diary of a Wimpy Kid","19"
"1","7","Appliances","Savvy Machines","beverage opener","101"
"1","8","Books","Baccus, Apollo & Rosenkatz","The Secret","32"
"1","8","Appliances","Savvy Machines","barbecue","99"
"1","8","Appliances","Savvy Machines","sewing machine","96"
"1","9","Books","Prometheus Publishing","A Wrinkle in Time","18"
"1","12","Books","Prometheus Publishing","The Young Guard","11.4"
"1","7","Books","Prometheus Publishing","Things Fall Apart","23.75"
"1","3","Books","Baccus, Apollo & Rosenkatz","The Baby-sitters Club","18"
"1","11","Appliances","Savvy Machines","bread machine","98"
"1","13","Books","Baccus, Apollo & Rosenkatz","Goodnight Moon","20"
"1","3","Books","Baccus, Apollo & Rosenkatz","Adventures of Huckleberry Finn","32"
"1","14","Books","Prometheus Publishing","The Hunger Games","36"
"1","14","Appliances","Kolben, Daněk","fire pot","480"
"1","19","Books","Prometheus Publishing","The Adventures of Pinocchio","18"
"1","19","Books","Prometheus Publishing","Robert Langdon","22.5"
"1","22","Books","Prometheus Publishing","A Wrinkle in Time","18"
"1","29","Books","Prometheus Publishing","The Lion, the Witch and the Wardrobe","13.5"
"1","13","Appliances","Kolben, Daněk","hot plate","505"
"1","17","Books","Prometheus Publishing","She: A History of Adventure","36"
"1","10","Books","Baccus, Apollo & Rosenkatz","Valley of the Dolls","22.5"
"1","12","Books","Baccus, Apollo & Rosenkatz","The Ginger Man","36"
"1","15","Books","Baccus, Apollo & Rosenkatz","The Hite Report","9.6"
"1","15","Books","Baccus, Apollo & Rosenkatz","All Quiet on the Western Front","24"
"1","15","Books","Baccus, Apollo & Rosenkatz","Diary of a Wimpy Kid","19"
"1","15","Books","Baccus, Apollo & Rosenkatz","A Series of Unfortunate Events","19"
"1","16","Appliances","Savvy Machines","convection microwave","49"
"1","11","Appliances","Kolben, Daněk","kettle","200"
"1","13","Books","Baccus, Apollo & Rosenkatz","The Bermuda Triangle","36"
"1","14","Books","Prometheus Publishing","Robert Langdon","22.5"
"1","22","Books","Prometheus Publishing","What to Expect When You're Expecting","32"
"1","28","Books","Prometheus Publishing","The Lion, the Witch and the Wardrobe","13.5"
"1","28","Books","Prometheus Publishing","Guess How Much I Love You","14.25"
"1","13","Appliances","Kolben, Daněk","air conditioner","101"
"1","17","Books","Prometheus Publishing","The Young Guard","11.4"
"1","27","Books","Baccus, Apollo & Rosenkatz","Divine Comedy","32"
"1","17","Books","Prometheus Publishing","The Wind in the Willows","9.6"
"1","11","Books","Baccus, Apollo & Rosenkatz","Dream of the Red Chamber","18"
"1","11","Books","Baccus, Apollo & Rosenkatz","The Alchemist","12"
"1","20","Appliances","Kolben, Daněk","patio heater","59.4"
"1","1","Books","Venus and Sons","Sweet Valley High","38"
"1","2","Books","Heracles Print","The Goal","16"
"1","2","Books","Venus and Sons","Berenstain Bears","19"
"1","5","Books","Heracles Print","Fear of Flying","36"
"1","7","Books","Baccus, Apollo & Rosenkatz","The Bermuda Triangle","36"
"1","7","Books","Prometheus Publishing","Where the Wild Things Are","32"
"1","5","Books","Prometheus Publishing","Angels & Demons","10.8"
"1","21","Books","Baccus, Apollo & Rosenkatz","The Ginger Man","36"
"1","32","Books","Baccus, Apollo & Rosenkatz","Twilight","18"
"1","10","Books","Prometheus Publishing","The Shack","11.4"
"1","5","Books","Prometheus Publishing","A Wrinkle in Time","18"
"1","5","Books","Prometheus Publishing","Peyton Place","22.5"
"1","9","Books","Baccus, Apollo & Rosenkatz","The Bermuda Triangle","36"
"1","10","Books","Prometheus Publishing","Harry Potter and the Order of the Phoenix","38"
"1","9","Appliances","Kolben, Daněk","convection heater","48"
"1","9","Books","Prometheus Publishing","Harry Potter","9.6"
"1","19","Books","Prometheus Publishing","The Very Hungry Caterpillar","23.75"
"1","15","Appliances","Kolben, Daněk","patio heater","59.4"
"1","28","Books","Baccus, Apollo & Rosenkatz","Valley of the Dolls","22.5"
"1","15","Books","Baccus, Apollo & Rosenkatz","Shōgun","20"
"1","16","Books","Baccus, Apollo & Rosenkatz","The Hite Report","9.6"
"1","16","Books","Baccus, Apollo & Rosenkatz","What Color is Your Parachute?","12"
"1","25","Books","Baccus, Apollo & Rosenkatz","To Kill a Mockingbird","18"
"1","22","Books","Prometheus Publishing","Harry Potter","9.6"
"1","28","Books","Baccus, Apollo & Rosenkatz","The Girl on the Train","18"
"1","12","Books","Baccus, Apollo & Rosenkatz","Dream of the Red Chamber","18"
"1","27","Books","Baccus, Apollo & Rosenkatz","Mockingjay","23.75"
"1","13","Books","Prometheus Publishing","The Lion, the Witch and the Wardrobe","13.5"
"1","13","Books","Prometheus Publishing","You Can Heal Your Life","20"
"1","15","Books","Prometheus Publishing","The Young Guard","11.4"
"1","18","Books","Prometheus Publishing","Angels & Demons","10.8"
"1","29","Books","Prometheus Publishing","Little Critter","14.25"
"1","15","Books","Baccus, Apollo & Rosenkatz","Peter Rabbit","22.5"
"1","14","Books","Baccus, Apollo & Rosenkatz","The Bermuda Triangle","36"
"1","18","Books","Prometheus Publishing","Animal Farm","24"
"1","20","Books","Prometheus Publishing","The Giver","19"
"1","20","Books","Prometheus Publishing","The Front Runner","16"
"1","11","Books","Baccus, Apollo & Rosenkatz","The Vampire Chronicles","20"
"1","5","Books","Venus and Sons","Gone Girl","18"
"1","1","Books","Heracles Print","The 7 Habits of Highly Effective People","19"
"1","2","Appliances","Kolben, Daněk","oven","50"
"1","3","Appliances","International Kitchen Machines","crepe maker","60"
"1","15","Appliances","Savvy Machines","dishwasher","48"
"1","6","Books","Prometheus Publishing","Little House on the Prairie","12"
"1","28","Books","Prometheus Publishing","Animal Farm","24"
"1","31","Books","Baccus, Apollo & Rosenkatz","What Color is Your Parachute?","12"
"1","17","Appliances","Savvy Machines","oil heater","58.8"
"1","1","Appliances","Edison, Tesla & Co","air fryer","99"
"1","1","Books","Heracles Print","Winnie-the-Pooh","18"
"1","1","Books","Baccus, Apollo & Rosenkatz","Adventures of Huckleberry Finn","32"
"1","1","Books","Baccus, Apollo & Rosenkatz","Divine Comedy","32"
"1","1","Appliances","Savvy Machines","beehive oven","50"
"1","1","Books","Prometheus Publishing","Guess How Much I Love You","14.25"
"1","1","Books","Baccus, Apollo & Rosenkatz","The Vampire Chronicles","20"
"1","1","Books","Baccus, Apollo & Rosenkatz","The Women's Room","19"
"1","1","Appliances","Kolben, Daněk","home server","102"
"1","11","Books","Prometheus Publishing","The Happy Hooker: My Own Story","20"
"1","11","Books","Prometheus Publishing","What to Expect When You're Expecting","32"
"1","9","Books","Baccus, Apollo & Rosenkatz","Divine Comedy","32"
"1","2","Books","Prometheus Publishing","Me Before You","9.6"
"1","2","Appliances","Kolben, Daněk","fire pot","480"
"1","2","Books","Baccus, Apollo & Rosenkatz","Goodnight Moon","20"
"1","1","Books","Prometheus Publishing","How to Win Friends and Influence People","18"
"1","2","Books","Baccus, Apollo & Rosenkatz","Clifford the Big Red Dog","24"
"1","8","Books","Prometheus Publishing","The Great Gatsby","36"
"1","5","Books","Prometheus Publishing","The Poky Little Puppy","16"
"1","2","Books","Baccus, Apollo & Rosenkatz","Mr. Men","14.25"
"1","3","Books","Prometheus Publishing","The Shack","11.4"
"1","1","Appliances","Kolben, Daněk","fire pot","480"
"1","2","Books","Baccus, Apollo & Rosenkatz","Peter Rabbit","22.5"
"1","3","Appliances","Savvy Machines","barbecue","99"
"1","5","Books","Prometheus Publishing","Things Fall Apart","23.75"
"1","20","Books","Baccus, Apollo & Rosenkatz","Dream of the Red Chamber","18"
"1","32","Books","Baccus, Apollo & Rosenkatz","To Kill a Mockingbird","18"
"1","4","Books","Prometheus Publishing","Angels & Demons","10.8"
"1","4","Books","Prometheus Publishing","You Can Heal Your Life","20"
"1","8","Books","Prometheus Publishing","The Catcher in the Rye","14.25"
"1","12","Appliances","Savvy Machines","electric cooker","60"
"1","1","Books","Baccus, Apollo & Rosenkatz","Shōgun","20"
"1","2","Books","Baccus, Apollo & Rosenkatz","The Neverending Story","22.5"
"1","3","Appliances","Savvy Machines","clothes iron","500"
"1","12","Appliances","Savvy Machines","fan heater","50"
"1","6","Appliances","Kolben, Daněk","convection heater","48"
"1","9","Books","Baccus, Apollo & Rosenkatz","Night","9.6"
"1","11","Books","Prometheus Publishing","The Wind in the Willows","9.6"
"1","11","Books","Prometheus Publishing","Knowledge-value Revolution","22.5"
"1","26","Appliances","Kolben, Daněk","dehumidifier","200"
"1","8","Appliances","Savvy Machines","clothes iron","500"
"1","29","Books","Prometheus Publishing","Things Fall Apart","23.75"
"1","4","Books","Prometheus Publishing","The Great Gatsby","36"
"1","10","Appliances","Kolben, Daněk","pressure fryer","60"
"1","32","Books","Baccus, Apollo & Rosenkatz","The Da Vinci Code","16"
"1","5","Appliances","Kolben, Daněk","clothes dryer","61.2"
"1","9","Books","Baccus, Apollo & Rosenkatz","Musashi","11.4"
"1","3","Books","Prometheus Publishing","War and Peace","14.25"
"1","3","Books","Prometheus Publishing","Guess How Much I Love You","14.25"
"1","7","Appliances","Kolben, Daněk","air conditioner","101"
"1","18","Appliances","Savvy Machines","sewing machine","96"
"1","12","Appliances","Savvy Machines","beverage opener","101"
"1","12","Appliances","Savvy Machines","bread machine","98"
"1","5","Appliances","Kolben, Daněk","dehumidifier","200"
"1","5","Books","Prometheus Publishing","The Lion, the Witch and the Wardrobe","13.5"
"1","4","Books","Baccus, Apollo & Rosenkatz","The Hite Report","9.6"
"1","19","Appliances","Savvy Machines","dishwasher","48"
"1","4","Books","Baccus, Apollo & Rosenkatz","The Chronicles of Narnia","16"
"1","6","Books","Prometheus Publishing","Men Are from Mars, Women Are from Venus","38"
"1","9","Appliances","Savvy Machines","boiler","490"
"1","9","Appliances","Savvy Machines","electric cooker","60"
"1","8","Books","Baccus, Apollo & Rosenkatz","The Ginger Man","36"
"1","8","Appliances","Savvy Machines","energy regulator","70"
"1","7","Books","Prometheus Publishing","Animal Farm","24"
"1","7","Books","Prometheus Publishing","Nancy Drew","22.5"
"1","2","Appliances","Savvy Machines","corn roaster","48"
"1","11","Books","Prometheus Publishing","The Wheel of Time","32"
"1","6","Books","Baccus, Apollo & Rosenkatz","Mockingjay","23.75"
"1","7","Books","Prometheus Publishing","The Shack","11.4"
"1","8","Books","Baccus, Apollo & Rosenkatz","Geronimo Stilton","24"
"1","12","Appliances","Kolben, Daněk","oven","50"
"1","13","Books","Baccus, Apollo & Rosenkatz","Mr. Men","14.25"
"1","13","Appliances","Savvy Machines","radiator","100"
"1","14","Books","Prometheus Publishing","No Longer Human","18"
"1","15","Appliances","Savvy Machines","clothes iron","500"
"1","16","Appliances","Kolben, Daněk","convection oven","100"
"1","22","Books","Prometheus Publishing","The Adventures of Pinocchio","18"
"1","25","Books","Prometheus Publishing","Things Fall Apart","23.75"
"1","25","Books","Prometheus Publishing","The Outsiders","19"
"1","10","Books","Baccus, Apollo & Rosenkatz","The Hunger Games","19"
"1","15","Books","Baccus, Apollo & Rosenkatz","The Chronicles of Narnia","16"
"1","15","Books","Baccus, Apollo & Rosenkatz","Twilight","18"
"1","16","Appliances","Savvy Machines","halogen oven","68.6"
"1","18","Appliances","Kolben, Daněk","fire pot","480"
"1","18","Appliances","Kolben, Daněk","sandwich toaster","50"
"1","25","Books","Baccus, Apollo & Rosenkatz","The Alchemist","12"
"1","27","Books","Baccus, Apollo & Rosenkatz","The Thorn Birds","10.8"
"1","27","Books","Prometheus Publishing","The Young Guard","11.4"
"1","7","Books","Prometheus Publishing","Watership Down","10.8"
"1","9","Appliances","Kolben, Daněk","micathermic heater","495"
"1","21","Appliances","Kolben, Daněk","flame supervision device","96"
"1","14","Books","Prometheus Publishing","The Godfather","16"
"1","14","Books","Prometheus Publishing","Diana: Her True Story","11.4"
"1","28","Books","Prometheus Publishing","A Wrinkle in Time","18"
"1","12","Books","Baccus, Apollo & Rosenkatz","The Hite Report","9.6"
"1","25","Books","Baccus, Apollo & Rosenkatz","Dream of the Red Chamber","18"
"1","25","Books","Baccus, Apollo & Rosenkatz","The Neverending Story","22.5"
"1","27","Books","Baccus, Apollo & Rosenkatz","The Exorcist","24"
"1","23","Books","Baccus, Apollo & Rosenkatz","San-Antonio","12"
"1","27","Books","Prometheus Publishing","War and Peace","14.25"
"1","27","Books","Prometheus Publishing","L'Étranger (The Stranger (Camus novel))","16"
"1","11","Books","Baccus, Apollo & Rosenkatz","The Women's Room","19"
"1","13","Books","Prometheus Publishing","Where the Wild Things Are","32"
"1","23","Books","Baccus, Apollo & Rosenkatz","The Vampire Chronicles","20"
"1","15","Books","Prometheus Publishing","And Then There Were None","22.5"
"1","18","Books","Prometheus Publishing","The Pillars of the Earth","18"
"1","19","Books","Baccus, Apollo & Rosenkatz","The Thorn Birds","10.8"
"1","19","Books","Baccus, Apollo & Rosenkatz","Eye of the Needle","36"
"1","20","Books","Prometheus Publishing","The Girl with the Dragon Tattoo","27"
"1","20","Books","Prometheus Publishing","Little House on the Prairie","12"
"1","14","Appliances","Kolben, Daněk","internet refrigerator","196"
"1","16","Books","Prometheus Publishing","The Lion, the Witch and the Wardrobe","13.5"
"1","16","Books","Baccus, Apollo & Rosenkatz","San-Antonio","12"
"1","21","Books","Baccus, Apollo & Rosenkatz","A Series of Unfortunate Events","19"
"1","13","Books","Prometheus Publishing","Problems in China's Socialist Economy","18"
"1","18","Books","Prometheus Publishing","Harry Potter","9.6"
"1","31","Books","Baccus, Apollo & Rosenkatz","The Thorn Birds","10.8"
"1","4","Books","Prometheus Publishing","Little House on the Prairie","12"
"1","1","Appliances","International Kitchen Machines","crepe maker","60"
"1","1","Books","Baccus, Apollo & Rosenkatz","James Bond","32"
"1","2","Books","Prometheus Publishing","Harry Potter","9.6"
"1","7","Books","Venus and Sons","The Kite Runner","22.5"
"1","7","Appliances","Kolben, Daněk","home server","102"
"1","10","Books","Prometheus Publishing","The Very Hungry Caterpillar","23.75"
"1","9","Books","Prometheus Publishing","Little Critter","14.25"
"1","6","Books","Venus and Sons","How the Steel Was Tempered","9.6"
"1","13","Books","Prometheus Publishing","Little Critter","14.25"
"1","19","Appliances","International Kitchen Machines","central vacuum cleaner","198"
"1","4","Appliances","International Kitchen Machines","humidifier","51"
"1","1","Appliances","Edison, Tesla & Co","aroma lamp","192"
"1","2","Books","Heracles Print","Miffy","23.75"
"1","12","Appliances","Edison, Tesla & Co","hair iron","196"
"1","16","Appliances","Savvy Machines","energy regulator","70"
"1","12","Books","Venus and Sons","Pippi Longstocking","18"
"1","13","Books","Heracles Print","The Plague","12"
"1","32","Books","Baccus, Apollo & Rosenkatz","The Bermuda Triangle","36"
"1","5","Appliances","Kolben, Daněk","slow cooker","99"
"1","6","Books","Baccus, Apollo & Rosenkatz","All Quiet on the Western Front","24"
"1","9","Books","Prometheus Publishing","L'Étranger (The Stranger (Camus novel))","16"
"1","32","Books","Baccus, Apollo & Rosenkatz","San-Antonio","12"
"1","11","Books","Prometheus Publishing","Diana: Her True Story","11.4"
"1","6","Books","Prometheus Publishing","Nancy Drew","22.5"
"1","15","Appliances","Kolben, Daněk","sandwich toaster","50"
"1","32","Books","Baccus, Apollo & Rosenkatz","Shōgun","20"
"1","3","Appliances","Savvy Machines","radiator","100"
"1","10","Books","Prometheus Publishing","Watership Down","10.8"
"1","20","Books","Baccus, Apollo & Rosenkatz","The Alchemist","12"
"1","4","Books","Prometheus Publishing","The Catcher in the Rye","14.25"
"1","5","Books","Prometheus Publishing","Animal Farm","24"
"1","5","Books","Prometheus Publishing","Harry Potter and the Prisoner of Azkaban","9.6"
"1","7","Books","Prometheus Publishing","Norwegian Wood","14.25"
"1","9","Books","Prometheus Publishing","Lolita","27"
"1","22","Books","Prometheus Publishing","Uncle Styopa","36"
"1","29","Books","Prometheus Publishing","The Lost Symbol","19"
"1","18","Appliances","Kolben, Daněk","patio heater","59.4"
"1","14","Appliances","Kolben, Daněk","slow cooker","99"
"1","28","Books","Baccus, Apollo & Rosenkatz","Wolf Totem","11.4"
"1","19","Books","Baccus, Apollo & Rosenkatz","The Girl on the Train","18"
"1","18","Books","Prometheus Publishing","What to Expect When You're Expecting","32"
"1","1","Books","Venus and Sons","Charlotte's Web","18"
"1","6","Books","Venus and Sons","Harry Potter and the Deathly Hallows","16"
"1","9","Appliances","Savvy Machines","radiator","100"
"1","9","Appliances","Kolben, Daněk","flame supervision device","96"
"1","12","Books","Prometheus Publishing","What to Expect When You're Expecting","32"
"1","12","Appliances","Kolben, Daněk","slow cooker","99"
"1","11","Books","Prometheus Publishing","The Name of the Rose","28.5"
"1","17","Books","Baccus, Apollo & Rosenkatz","The Girl on the Train","18"
"1","17","Books","Baccus, Apollo & Rosenkatz","Mockingjay","23.75"
"1","4","Books","Heracles Print","Gone with the Wind","28.5"
"1","15","Books","Prometheus Publishing","How to Win Friends and Influence People","18"
"1","8","Books","Baccus, Apollo & Rosenkatz","Night","9.6"
"1","6","Books","Venus and Sons","Where's Wally?","27"
"1","9","Books","Prometheus Publishing","Harry Potter and the Order of the Phoenix","38"
"1","12","Appliances","Kolben, Daněk","clothes dryer","61.2"
"1","19","Books","Prometheus Publishing","Peyton Place","22.5"
"1","25","Books","Prometheus Publishing","The Great Gatsby","36"
"1","25","Books","Prometheus Publishing","Charlie and the Chocolate Factory","24"
"1","10","Books","Baccus, Apollo & Rosenkatz","The Neverending Story","22.5"
"1","12","Books","Baccus, Apollo & Rosenkatz","Shōgun","20"
"1","12","Books","Baccus, Apollo & Rosenkatz","Twilight","18"
"1","16","Books","Baccus, Apollo & Rosenkatz","The Ginger Man","36"
"1","23","Books","Baccus, Apollo & Rosenkatz","Peter Rabbit","22.5"
"1","27","Books","Prometheus Publishing","Things Fall Apart","23.75"
"1","4","Appliances","Savvy Machines","oil heater","58.8"
"1","8","Books","Baccus, Apollo & Rosenkatz","Harry Potter and the Chamber of Secrets","18"
"1","8","Appliances","Savvy Machines","hair dryer","510"
"1","6","Books","Prometheus Publishing","The Hunger Games","36"
"1","11","Appliances","Kolben, Daněk","flame supervision device","96"
"1","7","Books","Prometheus Publishing","The Adventures of Pinocchio","18"
"1","14","Appliances","Kolben, Daněk","air conditioner","101"
"1","17","Books","Baccus, Apollo & Rosenkatz","The Women's Room","19"
"1","25","Books","Prometheus Publishing","Nancy Drew","22.5"
"1","29","Books","Prometheus Publishing","Guess How Much I Love You","14.25"
"1","17","Books","Prometheus Publishing","The Naked Ape","12"
"1","4","Appliances","Kolben, Daněk","internet refrigerator","196"
"1","15","Books","Baccus, Apollo & Rosenkatz","Who Moved My Cheese?","16"
"1","16","Books","Prometheus Publishing","Lolita","27"
"1","16","Books","Baccus, Apollo & Rosenkatz","The Vampire Chronicles","20"
"1","30","Appliances","Kolben, Daněk","flame supervision device","96"
"1","30","Appliances","Kolben, Daněk","kettle","200"
"1","7","Books","Baccus, Apollo & Rosenkatz","The Chronicles of Narnia","16"
"1","11","Books","Baccus, Apollo & Rosenkatz","All Quiet on the Western Front","24"
"1","13","Books","Prometheus Publishing","The Very Hungry Caterpillar","23.75"
"1","15","Appliances","Kolben, Daněk","pressure fryer","60"
"1","27","Books","Baccus, Apollo & Rosenkatz","The Alchemist","12"
"1","14","Books","Baccus, Apollo & Rosenkatz","Harry Potter and the Chamber of Secrets","18"
"1","14","Books","Baccus, Apollo & Rosenkatz","Who Moved My Cheese?","16"
"1","14","Books","Baccus, Apollo & Rosenkatz","The Neverending Story","22.5"
"1","14","Books","Baccus, Apollo & Rosenkatz","Divine Comedy","32"
"1","14","Books","Baccus, Apollo & Rosenkatz","Peter Rabbit","22.5"
"1","15","Books","Prometheus Publishing","No Longer Human","18"
"1","17","Appliances","Kolben, Daněk","slow cooker","99"
"1","18","Books","Prometheus Publishing","And Then There Were None","22.5"
"1","18","Books","Prometheus Publishing","The Catcher in the Rye","14.25"
"1","18","Books","Prometheus Publishing","The Poky Little Puppy","16"
"1","19","Books","Baccus, Apollo & Rosenkatz","Wolf Totem","11.4"
"1","19","Books","Baccus, Apollo & Rosenkatz","Twilight","18"
"1","20","Appliances","Kolben, Daněk","air conditioner","101"
"1","21","Books","Prometheus Publishing","Charlie and the Chocolate Factory","24"
"1","16","Appliances","Kolben, Daněk","sandwich toaster","50"
"1","28","Books","Baccus, Apollo & Rosenkatz","Clifford the Big Red Dog","24"
"1","10","Books","Baccus, Apollo & Rosenkatz","Harry Potter and the Chamber of Secrets","18"
"1","12","Books","Baccus, Apollo & Rosenkatz","The Secret","32"
"1","16","Books","Prometheus Publishing","You Can Heal Your Life","20"
"1","18","Appliances","Kolben, Daněk","pressure fryer","60"
"1","27","Books","Baccus, Apollo & Rosenkatz","The Bridges of Madison County","9.6"
"1","19","Appliances","Kolben, Daněk","dehumidifier","200"
"1","27","Books","Prometheus Publishing","The Pillars of the Earth","18"
"1","7","Books","Baccus, Apollo & Rosenkatz","Heidi's Years of Learning and Travel","23.75"
"1","7","Books","Baccus, Apollo & Rosenkatz","The Dukan Diet","18"
"1","11","Books","Baccus, Apollo & Rosenkatz","Martine","14.25"
"1","13","Books","Prometheus Publishing","The Wind in the Willows","9.6"
"1","14","Books","Baccus, Apollo & Rosenkatz","Wolf Totem","11.4"
"1","14","Books","Baccus, Apollo & Rosenkatz","What Color is Your Parachute?","12"
"1","14","Books","Baccus, Apollo & Rosenkatz","The Baby-sitters Club","18"
"1","15","Books","Prometheus Publishing","What to Expect When You're Expecting","32"
"1","18","Books","Prometheus Publishing","The Giver","19"
"1","19","Books","Baccus, Apollo & Rosenkatz","Geronimo Stilton","24"
"1","20","Books","Prometheus Publishing","Kane and Abel","18"
"1","19","Books","Baccus, Apollo & Rosenkatz","Martine","14.25"
"1","21","Books","Prometheus Publishing","How to Win Friends and Influence People","18"
"1","21","Books","Prometheus Publishing","A Wrinkle in Time","18"
"1","21","Books","Prometheus Publishing","The Front Runner","16"
"1","21","Books","Prometheus Publishing","Men Are from Mars, Women Are from Venus","38"
"1","22","Books","Baccus, Apollo & Rosenkatz","Anne of Green Gables","22.5"
